CODPRED;NOMBRE_TF;NOMBRE_PREDIO;NOMBRE_TF_AUXILIAR;NOMBRE_PREDIO_AUXILIAR;RESOLUCION_TF;FECHA_RES_TF;TIPO_DE_RES;SUPERFICIE_PREDIO;SUP_DISP;SUP_NODISP;TIPO_TF;CLASIFICACION;CALIFICACION;DEPARTAMENTO;PROVINCIA;MUNICIPIO;MODALIDAD;NRO FOLIO REAL;CLASE_RES;DETALLE_RECTIFI;NOTA REMISION_UADM;FECHA_REM;HR_REMISION;FECHA_HR;GESTION_REPORTE;OBS_REPORTE;NOTA_CATASTRO_CC;CERTIF_TAN;FECHA_REVI;REGISTRO DDRR;NOTA EXTERNA ENVIO DDRR;HR DDRR;NOTA REMITIDA VIA SANEAMIENTO CATASTRO;OBS_PROCONT;OBS_COMPENSACION;OBSERVACION 1;0;COD_INV;EXPEDIENTE;NUMERO_ARCHIVADOR;CUERPOS;GAVETERO;CAJA;OBS_INVENTARIO;RESPONSABLE;DIRECTOR;REPORTE TF;PROCESO_CONTENCIOSO;ESTADO;ESTADO GLOBAL
196589;TIERRA FISCAL;LA ESPERANZA;TIERRA FISCAL;LA ESPERANZA;RA-SS No0433/2005;13/6/2005;ADMINISTRATIVA;640.5114;640.5114;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;7.05.3.03.0000203;;;DGST CI 4864/2019;18/1/2021;13248/2019;9/12/2019;2007;;;FALSO;6/2/2015;MEDIANTE NOTA DGAT-CI No578/2017 y HR 25866/2017;;11430/2024;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;1350;1350OK;12;;;;;NIEVEZ MORALES;ALCIDES VADILLO PINTO;SI;;REPORTADO;TIERRA FISCAL VIGENTE
196592;TIERRA FISCAL;EL PIO II, FORTALEZA, LOS VALLECITOS, LOS CANTARITOS Y OTROS;TIERRA FISCAL;EL PIO II, FORTALEZA, LOS VALLECITOS, LOS CANTARITOS Y OTROS;RA-SS No0826/2010;16/9/2010;ADMINISTRATIVA;487.8705;487.8705;;RECORTE;MEDIANA;GANADERA;SANTA CRUZ;;;SAN-SIM;;RECTIFICATORIA;;DGS-JRLL No837/2010;16/9/2010;DN HRI No7686/2010;15/10/2010;2010;;DGS-ESP-SC-CT-No.220/2010;FALSO;6/2/2015;DGAT-CI N° 170/2018 DE 23/03/2018 HR 7413;DN-C-EXT. N°. 438/2018 5 de julio de 2018 Validado;1980/2024;;;;PRESTAMO A SANEAMIENTO NOTA DGAT 714/2018 Y HR 18659 (29/08/2018) FUE DEVUELTO  19/10/2018 (PIO II DGAT-CI 888/2019 HR 20065/2019)HR CATASTRO>DDRR:DN HRI Nº 7413/2018INF CAT:DGAT-UCR-INF Nº 1811/2018 (25/07/2018)SEG. HR:SEG. HR:SEG. HR:SEG. HR: INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;975;975 S/U;20;1;;;;NIEVEZ MORALES;RENE SALOMON  VARGAS;SI;;REPORTADO;TIERRA FISCAL VIGENTE
196593;TIERRA FISCAL;EL PIO II, (FORTALEZA), LOS VALLECITOS, LOS CANTARITOS Y OTROS;TIERRA FISCAL;EL PIO II, (FORTALEZA), LOS VALLECITOS, LOS CANTARITOS Y OTROS;RA-SS No0480/2003;26/11/2003;ADMINISTRATIVA;462.6975;462.6975;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;7.03.1.01.0007635;;;;;;;2010;;DGS-ESP-SC-CT-No.220/2010;FALSO;2/4/2015;DGAT-CI N° 170/2018 DE 23/03/2018 HR 7413;DN-C-EXT. N°. 438/2018 5 de julio de 2018 Validado;1980/2024;;PROBADA LA DEMANDA CUENTA PROCESO  ANTE EL TRIBUNAL AGROAMBIENTAL  DATOS 2022;;PRESTAMO A SANE NOTA DGAT 714/2018 Y HR 18659 (29/08/2018)// REMITIDO A SANE MEDINTE NOTA DGAR CI No. 860/2019 de 15/11/2019 HR 20066/2019  A ATIENDA HR// MEDIANTE NOTA DGRA NoO. 1183/2018 HR 34301/2018 SE SOLICITO LA SUBSANACION DE OBSERVACIONESHR CATASTRO>DDRR:DN HRI Nº 7413/2018INF CAT:DGAT-UCR-INF Nº 1811/2018 (25/07/2018)SEG. HR:SEG. HR:SEG. HR: OBS 2019:SE REMITIO A SANEAMIENTO   RESOLUCION RECTIFICATORIA SEÑALA: SE DEBE DECLARAR TIERRA FISCAL LA SUPERFICIE XXX. INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;980;980S/U;20;1;;;NOS DEVOLVIERON LOS ANTEC MEDIANTE HR 27400/2018 DE FECHA 24 DE OCTUBRE DE 2018. REMITE CARPETA DE SANEA MEDIANTE NOTA DGST CI No.3922/2019 hr 18437/2019 10/09/2019 codigo  de carpeta /980/, HR 34301/2018 NOTA DGAT-CI No. 1183/2018 saneamiento;NIEVEZ MORALES;RENE SALOMON  VARGAS;SI;SI;PROCESO CONTENCIOSO VIGENTE;TIERRA FISCAL VIGENTE
196634;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-SS No601/2005;7/7/2005;ADMINISTRATIVA;30.4395;30.4395;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;SANTA CRUZ;;;SAN-SIM;;;;DGS No1203/2012;6/6/2012;DN HRI No18507/2012;6/6/2012;2012;;DGS-ESP-SC-CT No.326/2011;FALSO;20/3/2015;DN HRI Nro 21164/2018 DGAT-CI-  Nº  660/2018 20 de Agosto de 2018, NULL;;;;;;SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018 INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;62;62ok;30;1;GAVETERO 1;CAJA 2;;CLETO MIRANDA;ALCIDES VADILLO PINTO;SI;;REPORTADO;TIERRA FISCAL VIGENTE
196653;TIERRA FISCAL;LA KANTUTA;TIERRA FISCAL;LA KANTUTA;RA-SS No0455/2003;20/11/2003;ADMINISTRATIVA;16.4867;15.562;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;;;;;;;;2007;;;FALSO;16/1/2015;;;;;;;EXISTE  VARIACION DE SUP. DE 0.9247ha, LA SUP. DE LA RES ADM ES  16.4867 ha. Y EN EL SHAPE ES DE  15.5620HA. SE DEVOLVIO A SANEAMIENTO HR  11205HR CATASTRO>DDRR:INF CAT:SEG. HR:REALIZAR NOTA PARA Q RECTIFIQUEN OKSOL.PRESI:DGAT-CI Nº 671/2018 21276/2018SOL.PRESI:DGAT-CI Nº 671/2018 21276/2018SOL.PRESI:DGAT-CI Nº 671/2018 21276/2018 INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:FALTA ENVIAR;0;;;6;;;;variacian de sup. Devuelto a saneamiento hr 11205/2016;NIEVEZ MORALES;RENE SALOMON VARGAS;REVISAR NOTA DE REMISION;;REPORTADO;TIERRA FISCAL VIGENTE
196657;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-SS No600/2005;7/7/2005;ADMINISTRATIVA;137.4345;137.4345;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;SANTA CRUZ;;;SAN-SIM;;;;DGS No3398/2012;21/12/2012;DN HRI No39107/2012;21/12/2012;2012;;;FALSO;2/4/2015;DN HRI Nro 21164/2018 DGAT-CI-  Nº  660/2018 20 de Agosto de 2018, NULL;;;;;;SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018SOL.PRESI:DGAT-CI Nº 608/2018 20088/2018 INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;253;253ok;;1;GAVETERO 3;CAJA 1;;NIEVEZ MORALES;ALCIDES VADILLO PINTO;SI;;REPORTADO;TIERRA FISCAL VIGENTE
196705;TIERRA FISCAL;SAN ANTONIO;TIERRA FISCAL;SAN ANTONIO;RA-SS No0455/2003;20/11/2003;ADMINISTRATIVA;18.657;17.3981;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;;;;;;;;2007;;;FALSO;2/4/2015;;;;;;;EXISTE  VARIACION DE SUP. DE 1.2589ha, LA RES ADM. LA SUP. ES 17.3981HA Y EN EL SHAPE ES DE 18.657HA.HR CATASTRO>DDRR:INF CAT:SEG. HR:REALIZAR NOTA PARA Q RECTIFIQUEN OKSOL.PRESI:DGAT-CI Nº 671/2018 21276/2018SOL.PRESI:DGAT-CI Nº 671/2018 21276/2018SOL.PRESI:DGAT-CI Nº 671/2018 21276/2018 INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:FALTA ENVIAR;0;;;6;;;;;NIEVEZ MORALES;RENE SALOMON VARGAS;REVISAR NOTA DE REMISION;;REPORTADO;TIERRA FISCAL VIGENTE
196850;TIERRA FISCAL;JUPITER;TIERRA FISCAL;JUPITER;RA-SS No0873/2010;1/10/2010;ADMINISTRATIVA;1039.3232;1039.3232;;ILEGALIDAD;TIERRA FISCAL;TIERRA FISCAL;SANTA CRUZ;;;SAN-SIM;;RECTIFICATORIA;RECTIFICA SUPERFICIE.;DGS No0113/2011;19/1/2011;;;2011;;NO TIENE;FALSO;4/2/2015;DN-C-EXT. N°.12/2011;DN-C-EXT. N°.12/2011;;;;;  OBS_DDRR:FALTA ENVIAR;;190;190ok;16;2;GAVETERO 2;CAJA 3;;JESUS ZENTENO;ROBERTO TORREZ VALDEZ;SI;;REPORTADO;TIERRA FISCAL VIGENTE
196884;TIERRA FISCAL;BERLIN ORIENTAL Y VIRGEN DE COTOCA;TIERRA FISCAL;BERLIN ORIENTAL Y VIRGEN DE COTOCA;RA-SS No1514/2005;30/12/2005;ADMINISTRATIVA;421.3011;421.3011;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;;RECTIFICATORIA;;DGS No2653/2012;19/10/2012;DN HRI No34842/2012;19/10/2012;2007;;;FALSO;6/2/2015;DGAT-CI Nº 785/2018 13 de Septiembre de 2018 y DN HRI Nro 23881/2018, DGAT-CI Nº 785/2018 13 de Septiembre de 2018 y DN HRI Nro 23881/2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;169;169ok;12;1;GAVETERO 2;CAJA 2;;NIEVEZ MORALES;ALCIDES VADILLO PINTO;SI;;REPORTADO;TIERRA FISCAL VIGENTE
197185;TIERRA FISCAL;LOS CLAVELES;TIERRA FISCAL;LOS CLAVELES;RA-SS No0482/2003;26/11/2003;ADMINISTRATIVA;478.2307;478.2306;;ILEGALIDAD;SIN DEFINIR;SIN DEFINIR;SANTA CRUZ;;;SAN-SIM;;;;DGS No1739/2015;24/6/2015;DN HRI No17517/2015;24/6/2015;2015;;DGS-SC-N-CT No.084/2013;FALSO;3/7/2015;MEDIANTE NOTA DGAT-CI No578/2017 y HR 25866/2017;;;;;;se solicito la rectificacion NOTA DGAT-CI N°416/2016F-  hr 27468  YA FUE SUBSANADO Y CORREGIDO.HR CATASTRO>DDRR:INF CAT:SEG. HR:SEG. HR:SEG. HR:SEG. HR: INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;444;444ok;46;1;GAVETERO 5;CAJA 2;DEVUELTO A SANEAMIENTO HR 27468;NIEVEZ MORALES;RENE SALOMON VARGAS;SI;;REPORTADO;TIERRA FISCAL VIGENTE
